PERSON_ID,DISPLAY_FIRST_LAST,TEAM_NAME
1630173,Precious Achiuwa,Raptors
203500,Steven Adams,Grizzlies
1628389,Bam Adebayo,Heat
1630583,Santi Aldama,Grizzlies
200746,LaMarcus Aldridge,Nets
1629638,Nickeil Alexander-Walker,Jazz
1628960,Grayson Allen,Bucks
1628386,Jarrett Allen,Cavaliers
1630631,Jose Alvarado,Pelicans
203937,Kyle Anderson,Grizzlies
203507,Giannis Antetokounmpo,Bucks
203648,Thanasis Antetokounmpo,Bucks
2546,Carmelo Anthony,Lakers
1630175,Cole Anthony,Magic
1628384,OG Anunoby,Raptors
1627853,Ryan Arcidiacono,Knicks
201571,D.J. Augustin,Lakers
1630166,Deni Avdija,Wizards
1629028,Deandre Ayton,Suns
1628962,Udoka Azubuike,Jazz
1628963,Marvin Bagley III,Pistons
1630163,LaMelo Ball,Hornets
1628366,Lonzo Ball,Bulls
1628964,Mo Bamba,Magic
1630217,Desmond Bane,Grizzlies
1630625,Dalano Banton,Raptors
203084,Harrison Barnes,Kings
1630567,Scottie Barnes,Raptors
1629628,RJ Barrett,Knicks
203115,Will Barton,Nuggets
1629646,Charles Bassey,76ers
1628966,Keita Bates-Diop,Spurs
201587,Nicolas Batum,Clippers
203145,Kent Bazemore,Lakers
1629647,Darius Bazley,Thunder
203078,Bradley Beal,Wizards
1627736,Malik Beasley,Timberwolves
202722,Davis Bertans,Mavericks
201976,Patrick Beverley,Timberwolves
1630180,Saddiq Bey,Pistons
203920,Khem Birch,Raptors
1629048,Goga Bitadze,Pacers
202687,Bismack Biyombo,Suns
202357,Nemanja Bjelica,Warriors
202339,Eric Bledsoe,Trail Blazers
1629833,Keljin Blevins,Trail Blazers
203992,Bogdan Bogdanovic,Hawks
202711,Bojan Bogdanovic,Jazz
1629626,Bol Bol,Magic
1630195,Leandro Bolmaro,Timberwolves
1629067,Isaac Bonga,Raptors
1626164,Devin Booker,Suns
1630527,Brandon Boston Jr.,Clippers
1628449,Chris Boucher,Raptors
1630547,James Bouknight,Hornets
202340,Avery Bradley,Lakers
1628396,Tony Bradley,Bulls
1629649,Ignas Brazdeikis,Magic
1628969,Mikal Bridges,Suns
1628970,Miles Bridges,Hornets
1629052,Oshae Brissett,Pacers
1627763,Malcolm Brogdon,Pacers
1629717,Armoni Brooks,Raptors
1628415,Dillon Brooks,Grizzlies
1628971,Bruce Brown,Nets
1627759,Jaylen Brown,Celtics
1629650,Moses Brown,Cavaliers
1628425,Sterling Brown,Mavericks
1630535,Greg Brown III,Trail Blazers
1629718,Charlie Brown Jr.,76ers
1630602,Chaundee Brown Jr.,Hawks
1628972,Troy Brown Jr.,Bulls
1628973,Jalen Brunson,Mavericks
1628418,Thomas Bryant,Wizards
203493,Reggie Bullock,Mavericks
203504,Trey Burke,Mavericks
202692,Alec Burks,Knicks
1630215,Jared Butler,Jazz
202710,Jimmy Butler,Heat
1629719,Devontae Cacok,Spurs
203484,Kentavious Caldwell-Pope,Wizards
1630267,Facundo Campazzo,Nuggets
1628427,Vlatko Cancar,Nuggets
1629962,Devin Cannady,Magic
203991,Clint Capela,Hawks
1630176,Vernon Carey Jr.,Wizards
1628975,Jevon Carter,Bucks
1628976,Wendell Carter Jr.,Magic
1627936,Alex Caruso,Bulls
1630551,Justin Champagnie,Raptors
1629185,Chris Chiozza,Warriors
1627737,Marquese Chriss,Mavericks
1630528,Josh Christopher,Rockets
1629109,Gary Clark,Pelicans
1629634,Brandon Clarke,Grizzlies
203903,Jordan Clarkson,Jazz
1629651,Nic Claxton,Nets
1629599,Amir Coffey,Clippers
1628381,John Collins,Hawks
1628380,Zach Collins,Spurs
201144,Mike Conley,Jazz
1626192,Pat Connaughton,Bucks
1629076,Tyler Cook,Bulls
