PLAYER_NAME,SALARY
Precious Achiuwa,"$2,711,280"
Steven Adams,"$17,073,171"
Bam Adebayo,"$28,103,550"
Santi Aldama,"$1,994,520"
LaMarcus Aldridge,"$2,641,691"
Nickeil Alexander-Walker,"$3,261,480"
Grayson Allen,"$4,054,695"
Jarrett Allen,"$20,000,000"
Jose Alvarado,"$1,500,000"
Kyle Anderson,"$9,937,150"
Giannis Antetokounmpo,"$39,344,970"
Thanasis Antetokounmpo,"$1,729,217"
Carmelo Anthony,"$2,641,691"
Cole Anthony,"$3,449,400"
OG Anunoby,"$16,071,429"
Ryan Arcidiacono,"$586,136"
D.J. Augustin,"$7,622,467"
Deni Avdija,"$4,692,840"
Deandre Ayton,"$12,632,950"
Udoka Azubuike,"$2,075,880"
Marvin Bagley III,"$11,312,114"
LaMelo Ball,"$8,231,760"
Lonzo Ball,"$18,604,651"
Mo Bamba,"$7,568,742"
Desmond Bane,"$2,033,160"
Dalano Banton,"$925,258"
Harrison Barnes,"$20,284,091"
Scottie Barnes,"$7,280,520"
RJ Barrett,"$8,623,920"
Will Barton,"$15,384,615"
Charles Bassey,"$925,258"
Keita Bates-Diop,"$1,729,217"
Nicolas Batum,"$12,213,507"
Kent Bazemore,"$2,401,537"
Darius Bazley,"$2,513,040"
Bradley Beal,"$34,502,130"
Malik Beasley,"$14,391,964"
Davis Bertans,"$16,000,000"
Patrick Beverley,"$14,320,988"
Saddiq Bey,"$2,824,320"
Khem Birch,"$6,350,000"
Goga Bitadze,"$3,098,400"
Bismack Biyombo,"$1,366,392"
Nemanja Bjelica,"$2,089,448"
Eric Bledsoe,"$18,125,000"
Keljin Blevins,
Bogdan Bogdanovic,"$18,000,000"
Bojan Bogdanovic,"$18,700,000"
Bol Bol,"$2,161,152"
Leandro Bolmaro,"$2,353,320"
Isaac Bonga,"$1,729,217"
Devin Booker,"$31,610,000"
Brandon Boston Jr.,"$925,258"
Chris Boucher,"$7,009,615"
James Bouknight,"$4,154,400"
Avery Bradley,"$2,641,691"
Tony Bradley,"$1,789,256"
Ignas Brazdeikis,
Mikal Bridges,"$5,557,725"
Miles Bridges,"$5,421,493"
Oshae Brissett,"$1,701,593"
Malcolm Brogdon,"$21,700,000"
Armoni Brooks,"$1,625,991"
Dillon Brooks,"$12,200,000"
Bruce Brown,"$4,736,102"
Jaylen Brown,"$24,830,357"
Moses Brown,"$1,720,779"
Sterling Brown,"$3,000,000"
Greg Brown III,"$925,258"
Charlie Brown Jr.,
Chaundee Brown Jr.,
Troy Brown Jr.,"$5,170,564"
Jalen Brunson,"$1,802,057"
Thomas Bryant,"$8,730,159"
Reggie Bullock,"$9,536,000"
Trey Burke,"$3,333,333"
Alec Burks,"$9,536,000"
Jared Butler,"$925,258"
Jimmy Butler,"$36,016,200"
Devontae Cacok,"$364,533"
Kentavious Caldwell-Pope,"$13,038,862"
Facundo Campazzo,"$3,804,150"
Vlatko Cancar,"$1,782,621"
Devin Cannady,"$100,000"
Clint Capela,"$17,103,448"
Vernon Carey Jr.,"$1,517,981"
Jevon Carter,"$4,107,149"
Wendell Carter Jr.,"$6,920,027"
Alex Caruso,"$8,604,651"
Justin Champagnie,
Chris Chiozza,
Marquese Chriss,"$958,529"
Josh Christopher,"$2,259,240"
Gary Clark,"$377,645"
Brandon Clarke,"$2,726,880"
Jordan Clarkson,"$12,420,000"
Nic Claxton,"$1,782,621"
Amir Coffey,"$153,488"
John Collins,"$23,000,000"
Zach Collins,"$6,984,127"
Mike Conley,"$21,000,000"
Pat Connaughton,"$5,333,333"
Tyler Cook,
Sharife Cooper,
DeMarcus Cousins,"$1,290,481"
Robert Covington,"$12,975,471"
Torrey Craig,"$4,878,049"
Jae Crowder,"$9,720,900"
Jarrett Culver,"$6,395,160"
Cade Cunningham,"$10,050,120"
Seth Curry,"$8,186,047"
Stephen Curry,"$45,780,966"
Anthony Davis,"$35,361,360"
Ed Davis,"$2,641,691"
Terence Davis,"$4,000,000"
DeMar DeRozan,"$26,000,000"
Dewayne Dedmon,"$5,256,308"
Donte DiVincenzo,"$4,675,830"
Hamidou Diallo,"$5,200,000"
Gorgui Dieng,"$4,000,000"
Spencer Dinwiddie,"$17,142,857"
Luka Doncic,"$10,174,391"
Luguentz Dort,"$1,782,621"
Ayo Dosunmu,"$925,258"
Goran Dragic,"$20,168,742"
Andre Drummond,"$2,401,537"
Chris Duarte,"$3,749,520"
David Duke Jr.,
