SK_ID_CURR,TARGET
100001,0.08
100005,0.09
100013,0.05
100028,0.04
100038,0.1
100042,0.11
100057,0.01
100065,0.05
100066,0.02
100067,0.18
100074,0.13
100090,0.09
100091,0.17
100092,0.1
100106,0.03
100107,0.19
100109,0.07
100117,0.11
100128,0.1
100141,0.07
100150,0.06
100168,0.09
100169,0.11
100170,0.05
100171,0.03
100172,0.17
100184,0.14
100187,0.15
100212,0.2
100222,0.1
100223,0.05
100232,0.01
100241,0.33
100245,0.07
100253,0.04
100256,0.15
100271,0.11
100278,0.2
100280,0.04
100306,0.16
100311,0.17
100312,0.1
100330,0.11
100331,0.06
100352,0.11
100358,0.1
100367,0.03
100382,0.23
100384,0.04
100385,0.1
100386,0.03
100399,0.02
100404,0.06
100416,0.04
100422,0.16
100426,0.03
100438,0.06
100444,0.24
100445,0.1
100446,0.1
100447,0.17
100450,0.08
100466,0.06
100483,0.01
100484,0.09
100494,0.13
100510,0.13
100512,0.08
100517,0.05
100548,0.11
100551,0.11
100552,0.14
100553,0.05
100561,0.07
100568,0.33
100569,0.06
100591,0.13
100592,0.09
100602,0.06
100607,0.06
100613,0.11
100617,0.12
100618,0.19
100622,0.07
100625,0.1
100677,0.2
100699,0.07
100702,0.33
100711,0.1
100729,0.14
100740,0.13
100744,0.18
100745,0.06
100747,0.11
100751,0.21
100752,0.16
100753,0.2
100754,0.15
100760,0.05
100762,0.08
100763,0.11
100765,0.02
100770,0.05
100772,0.01
100777,0.01
100791,0.04
100792,0.02
100797,0.05
100823,0.08
100826,0.04
100830,0.1
100836,0.21
100872,0.15
100910,0.02
100913,0.23
100918,0.11
100931,0.03
100952,0.09
100953,0.11
100965,0.22
100970,0.06
100982,0.12
100983,0.23
100984,0.06
100987,0.05
100997,0.04
100998,0.17
101002,0.1
101005,0.24
101008,0.11
101020,0.03
101021,0.03
101024,0.11
101025,0.18
101026,0.04
101031,0.06
101041,0.03
101051,0.05
101055,0.07
101056,0.39
101057,0.01
101064,0.14
101079,0.06
101087,0.05
101090,0.08
101092,0.1
101097,0.12
101099,0.08
101107,0.08
101118,0.04
101125,0.04
101126,0.02
101128,0.1
101136,0.2
101140,0.13
101149,0.12
101160,0.09
101169,0.21
101181,0.05
101186,0.0
101190,0.14
101193,0.1
101194,0.21
101198,0.12
101200,0.06
101204,0.04
101211,0.11
101213,0.11
101223,0.06
101225,0.11
101237,0.13
101243,0.12
101244,0.17
101258,0.09
101259,0.31
101268,0.12
101269,0.02
101271,0.14
101279,0.07
101281,0.19
101287,0.07
101292,0.09
101294,0.02
101296,0.06
101297,0.04
101299,0.13
101301,0.09
101305,0.12
101308,0.15
101318,0.12
101327,0.23
101329,0.04
101332,0.12
101337,0.09
101343,0.03
101345,0.04
101346,0.02
101353,0.09
101354,0.05
101355,0.19
101356,0.04
101362,0.1
101363,0.23
101365,0.03
101366,0.05
101367,0.2
101368,0.0
101374,0.16
101380,0.03
101383,0.08
101398,0.1
101399,0.24
101401,0.13
101412,0.14
101426,0.05
101427,0.39
101428,0.19
101429,0.11
101434,0.04
101440,0.06
101448,0.08
101449,0.07
101465,0.15
101467,0.05
101472,0.07
101478,0.14
101497,0.07
101504,0.17
101547,0.02
101548,0.12
101555,0.21
101570,0.03
101572,0.09
101578,0.08
101580,0.14
101588,0.22
101602,0.08
101610,0.21
101614,0.08
101616,0.08
101643,0.08
101644,0.1
101649,0.14
101650,0.05
101665,0.08
101667,0.21
101669,0.13
101674,0.13
101675,0.03
101678,0.13
101682,0.11
101686,0.06
101697,0.25
101700,0.24
101711,0.1
101714,0.07
101715,0.23
101728,0.13
101732,0.13
101757,0.2
101758,0.04
101759,0.06
101762,0.03
101764,0.03
101780,0.28
101784,0.04
101789,0.0
101816,0.14
101819,0.02
101827,0.08
101863,0.12
101867,0.04
101870,0.07
101873,0.17
101878,0.16
